" ",," ","MURANÓW"," ","KINOTEKA",,"KINO KC"
"1.12","czw.",," ",,,,
,,"18.00","OPOWIEŚCI, KTÓRE ISTNIEJĄ TYLKO W NASZEJ PAMIĘCI",,,,
,,"20.30","OTWARCIE ",,,,
,,"20.30","POWRÓT DO DOMU",,,,
"2.12","pt.",,,," ",,
,,"18.30","MANGROVE","18.30","POWRÓT DO DOMU","18.30","ŚWIĘTA RODZINA"
,,"21.00","OPOWIEŚCI, KTÓRE ISTNIEJĄ TYLKO W NASZEJ PAMIĘCI","21.00","MIKROFON",,
"3.12","so.",,,," ",,
,,"12.00","MIASTO TAŃCA"," "," ",,
,,"14.00","HANEZU  ","14.00","MIKROFON",,
,,"16.30","SŁONECZNY TRAKT","16.30","MEDIANERAS",,
,,"18.30","KOWBOJ","18.30","UFO W JEJ OCZACH + dyskusja","18.30","MADAME SATA"
,,"21.00","AKACJE","21.00","POWRÓT DO DOMU",,
"4.12","nd.",,,," ",,
,,"12.00","SŁONECZNY TRAKT"," "," ",," "
,,"14.00","AKACJE","14.00","MANGROVE",," "
,,16:00,"KOWBOJ","16.00","KONSERWATOR",," "
,,"18.00","MIASTO TAŃCA + dyskusja","18.30","MEDIANERAS","18.30","SŁUŻĄCA"
,,"21.00","HANEZU  ",21:00,"11 KWIATÓW",," "
"5.12","pn.",,,," ",,
,,"18.30","SREBRNE URWISKO","18.30","11 KWIATÓW",,
,,"21.00","ŻYCZENIE","21.00","UFO W JEJ OCZACH  ",,
"6.12","wt.",," ",,,,
," ","18.00","PIĘKNO + dyskusja","18.30","ŻYCZENIE",,
,,"21.00","POŻEGNANIE","21.00","KONSERWATOR",,
"7.12","śr.",,,," ",,
,,"18.30","POŻEGNANIE","18.30","NAJSAMOTNIEJSZA Z PLANET",,
,,"21.00","PIĘKNO   ","21.00","TATSUMI",,
"8.12","czw.",,,," ",,
,,"18.30","SREBRNE URWISKO","18.30","TATSUMI",,
,,"21.00","ZAMKNIĘCIE","21.00","O RZECE, KTÓRA BYŁA CZŁOWIEKIEM",,
,,"21.00","NAJSAMOTNIEJSZA Z PLANET",,,,
